Título,Data,Local,Link,Fonte,Hash
Bahamas Uberaba,17/08/2025,Uberaba MG,https://timeticket.com.br/,TimeTicket,3e19fe1a
Bahamas Araxá,24/08/2025,Araxa-MG,https://timeticket.com.br/,TimeTicket,65b92508
+ VIDA FERNANDINHA,07/09/2025,UBERLÂNDIA - MG,https://timeticket.com.br/,TimeTicket,435bb091
CANASTRA ROOTS-TRAVESSIA,20/09/2025,Araxá | MG,https://timeticket.com.br/,TimeTicket,0f5125ef
2ª FAU RUN,28/09/2025,Uberlândia - MG,https://timeticket.com.br/,TimeTicket,569d08d7
CORRIDA BAHAMAS FRUTAL,05/10/2025,Frutal | MG,https://timeticket.com.br/,TimeTicket,aeb1475d
CORRIDA BAHAMAS PATROCÍNIO,12/10/2025,Patrocínio - MG,https://timeticket.com.br/,TimeTicket,1c94ec79
Corrida do 53º BPM,26/10/2025,Araguari,https://timeticket.com.br/,TimeTicket,77f3457d
GardenRun 2025,01/11/2025,Uberlândia,https://timeticket.com.br/,TimeTicket,1ee6de32
